Index,Height,Weight,BMI
62,69.0,137.55,44.78094383427851
63,68.3,129.76,43.11518551219857
64,67.01,128.82,44.466698782571044
65,70.81,135.32,41.83151850016196
66,68.22,109.61,36.50543914501009
67,69.06,142.47,46.302144486228485
68,67.73,132.75,44.854209597652705
69,67.22,103.53,35.51403573273988
70,67.37,124.73,42.5959841947842
71,65.27,129.31,47.04740954034988
72,70.84,134.02,41.39456643254248
73,69.92,140.4,44.513843861765515
74,64.29,102.84,38.56612868355568
75,68.25,128.52,42.765764003381236
76,66.36,120.3,42.34320257224825
77,68.36,138.6,45.97163519826369
78,65.48,132.96,48.06561401001354
79,69.72,115.62,36.867954067314244
80,67.73,122.52,41.39764790888444
81,68.64,134.63,44.29126921935024
82,66.78,121.9,42.36836508887272
83,70.05,155.38,49.08057787254031
84,66.28,128.94,45.4939342861196
85,69.2,129.1,41.78735502982057
86,69.13,139.47,45.23540851414668
87,67.36,140.89,48.12900038846294
88,70.09,131.59,41.51849443699773
89,70.18,121.12,38.11710987038905
90,68.23,131.51,43.78636215661396
91,68.13,136.55,45.597996003358176
92,70.24,141.49,44.451617676305716
93,71.49,140.61,42.6438535977817
94,69.2,112.14,36.29770714983795
95,70.06,133.46,42.144575534497605
96,70.56,131.8,41.0326055750626
97,66.29,120.03,42.33744033795469
98,63.43,123.1,47.42413952808505
99,66.77,128.14,44.55052197160897
100,68.89,115.48,37.7159659761246
101,64.87,102.09,37.60332407139163
102,67.09,130.35,44.887589217990275
103,68.35,134.18,44.518608295334325
104,65.61,98.64,35.51761682753954
105,67.76,114.56,38.67381718099438
106,68.02,123.49,41.37036618443595
107,67.66,123.05,41.66280065474038
108,66.31,126.48,44.5856015655708
109,69.44,128.42,41.28041653380102
110,63.84,127.19,48.3724450809727
111,67.72,122.06,41.254402010694115
112,70.05,127.61,40.30874335380917
113,70.19,131.64,41.416006332596794
114,65.95,111.9,39.877811517788935
115,70.01,122.04,38.593385117856414
116,68.61,128.55,42.32803151810768
117,68.81,132.68,43.434335008702874
118,69.76,136.06,43.335953078888416
119,65.46,115.94,41.93842569434351
120,68.83,136.9,44.7897603367837
121,65.8,119.88,42.91664627359318
122,67.21,109.01,37.40497582752937
123,69.42,128.27,41.2559607906097
124,68.94,135.29,44.12187584420015
125,67.94,106.86,35.88350973026902
126,65.63,123.29,44.36636764022466
127,66.5,109.51,38.38321228311379
128,67.93,119.31,40.07600721350284
129,68.89,140.24,45.802624424070956
130,70.24,133.98,42.09221666740716
131,68.27,132.58,44.0909075796953
132,71.23,130.7,39.928273204027754
133,69.1,115.56,37.513040678896125
134,64.4,123.79,46.264157500433996
135,71.1,128.14,39.289486048255164
136,68.22,135.96,45.28126545165196
137,65.92,116.63,41.601281388950035
138,67.44,126.82,43.21986989577484
139,73.9,151.39,42.967406617031735
140,69.98,130.4,41.272477997837285
141,69.52,136.21,43.68378848786053
142,65.18,113.4,41.37282458819398
143,68.01,125.33,41.999132451763046
144,68.34,127.58,42.34123082662055
145,65.18,107.16,39.09622471667431
146,68.26,116.46,38.741376510282066
147,68.57,133.84,44.12131610211133
148,64.5,112.89,42.05976805264107
149,68.71,130.76,42.930489896123206
150,68.89,137.76,44.992652172418815
151,69.54,125.4,40.19379317010612
152,67.4,138.47,47.246183100802135
153,66.48,120.82,42.37284646513847
154,66.01,140.15,49.85451161483407
155,72.44,136.74,40.38959718410499
156,64.13,106.11,39.99122101797502
157,70.98,158.96,48.9042602184718
158,67.5,108.79,37.00941843643347
159,72.02,138.78,41.47166566285199
160,65.31,115.91,42.120388462633045
161,67.08,146.29,50.39174081806396
162,64.39,109.88,41.07831587685124
163,69.37,139.05,44.787666303720854
164,68.38,119.9,39.74585279763714
165,65.31,128.31,46.62640879682897
166,67.14,127.24,43.7513860606672
167,68.39,115.23,38.186616877891325
168,66.29,124.8,44.01993296823082
169,67.19,126.95,43.58672642446185
170,65.99,111.27,39.60524105157575
171,69.43,122.61,39.42415480708334
172,67.97,124.21,41.67281629194127
173,67.76,124.65,42.080056840179374
174,65.28,119.52,43.47215029600994
175,73.83,139.3,39.611036722970894
176,66.81,104.83,36.40268954460079
177,66.89,123.04,42.624054664891744
178,65.74,118.89,42.63995691025547
179,65.98,121.49,43.25603811276455
180,66.58,119.25,41.69669526339483
181,67.11,135.02,46.468050814342114
182,65.87,116.23,41.521567509405514
183,66.78,109.17,37.94384263127346
184,68.74,124.22,40.74771865523392
185,66.23,141.16,49.88074934851663
186,65.96,129.15,46.011240901969
187,68.58,127.87,42.14097050754459
188,66.59,120.92,42.26792598874198
189,66.97,127.65,44.115484256577325
190,68.08,101.47,33.93355777673428
191,70.19,144.99,45.61612547981776
192,65.52,110.95,40.05994591753806
193,67.46,132.86,45.25144000169112
194,67.41,146.34,49.91662639935876
195,69.66,145.59,46.50454883050762
196,65.8,120.84,43.26032312062897
197,66.11,115.78,41.06105091460145
198,68.24,128.3,42.70507113667849
199,68.02,127.47,42.703705381245854
200,71.39,127.88,38.891858166065504
